Area,Bedrooms,Bathrooms,Floor,AgeOfProperty,Furnishing,Parking,City,Rent
2300,3,4,1,1,Furnished,No,Bangalore,111914
1202,3,4,1,9,Unfurnished,No,Chennai,52775
2993,2,3,5,6,Furnished,No,Ahmedabad,81063
2548,1,4,2,5,Semi-Furnished,No,Chennai,81398
1643,4,4,19,2,Furnished,No,Ahmedabad,72876
407,3,1,10,4,Furnished,No,Ahmedabad,30911
649,5,4,13,14,Unfurnished,Yes,Chennai,55255
534,4,3,13,6,Semi-Furnished,No,Chennai,48458
1177,3,2,18,14,Furnished,Yes,Mumbai,89702
1112,4,4,20,4,Unfurnished,Yes,Chennai,67376
2851,4,3,9,3,Semi-Furnished,Yes,Ahmedabad,91232
2980,5,3,4,15,Furnished,Yes,Delhi,146305
2695,1,4,6,1,Furnished,Yes,Pune,99327
968,2,3,11,0,Unfurnished,No,Delhi,64672
1940,1,2,19,9,Furnished,No,Hyderabad,72696
2422,1,4,15,1,Semi-Furnished,No,Pune,86982
1385,5,3,20,0,Semi-Furnished,Yes,Ahmedabad,67017
2156,5,4,16,12,Unfurnished,Yes,Hyderabad,105722
1673,1,1,14,0,Semi-Furnished,Yes,Ahmedabad,46414
1299,5,4,6,3,Furnished,Yes,Chennai,75261
2876,4,1,5,15,Furnished,No,Pune,100398
1651,5,1,13,2,Unfurnished,Yes,Mumbai,124256
1593,4,3,13,12,Semi-Furnished,Yes,Chennai,73238
2899,5,1,11,13,Furnished,Yes,Ahmedabad,90710
2230,5,1,19,5,Furnished,No,Mumbai,147886
488,2,2,11,8,Semi-Furnished,No,Mumbai,48291
1603,4,3,2,0,Semi-Furnished,No,Mumbai,116607
2028,2,2,20,12,Semi-Furnished,Yes,Ahmedabad,57358
2803,5,4,2,11,Semi-Furnished,No,Chennai,104156
1929,2,1,10,5,Semi-Furnished,Yes,Ahmedabad,55774
1470,1,4,8,12,Semi-Furnished,No,Hyderabad,61376
1377,3,2,8,3,Semi-Furnished,Yes,Delhi,83907
2018,2,3,15,10,Furnished,No,Bangalore,94776
1715,5,1,12,4,Semi-Furnished,No,Bangalore,96885
1590,2,1,9,7,Semi-Furnished,No,Delhi,70720
895,5,2,10,11,Semi-Furnished,No,Chennai,54662
2445,5,3,17,12,Furnished,No,Ahmedabad,82542
986,2,1,5,0,Unfurnished,No,Delhi,52129
1574,5,2,7,1,Semi-Furnished,No,Hyderabad,86537
877,1,2,13,4,Furnished,Yes,Bangalore,54827
2626,2,2,8,0,Furnished,No,Chennai,83661
2790,2,4,6,4,Furnished,Yes,Chennai,94392
756,3,3,4,13,Unfurnished,Yes,Pune,41605
1749,1,3,16,5,Semi-Furnished,No,Hyderabad,67047
2059,4,4,20,2,Unfurnished,Yes,Ahmedabad,74132
3000,2,3,2,6,Semi-Furnished,Yes,Pune,102158
1947,1,2,19,9,Unfurnished,No,Delhi,79789
2561,4,3,19,0,Unfurnished,Yes,Mumbai,166455
1424,2,2,5,1,Unfurnished,Yes,Ahmedabad,46871
1118,4,1,1,9,Furnished,Yes,Chennai,53498
1950,4,1,10,2,Unfurnished,Yes,Chennai,72977
890,3,2,19,6,Semi-Furnished,Yes,Ahmedabad,46225
2451,4,3,10,14,Furnished,No,Mumbai,147325
1297,3,1,10,15,Furnished,Yes,Mumbai,85655
2106,2,1,19,2,Unfurnished,Yes,Mumbai,115975
2148,1,4,7,5,Semi-Furnished,No,Hyderabad,81236
1435,2,2,18,7,Unfurnished,Yes,Mumbai,90815
933,2,2,9,5,Furnished,No,Bangalore,60063
1178,5,1,18,11,Semi-Furnished,Yes,Chennai,63744
2824,3,4,18,2,Semi-Furnished,Yes,Delhi,138633
2164,2,2,7,8,Semi-Furnished,No,Ahmedabad,58959
991,3,3,2,5,Semi-Furnished,Yes,Pune,52906
2002,5,3,2,14,Semi-Furnished,Yes,Delhi,114812
2370,1,1,19,2,Furnished,No,Chennai,73811
1656,2,4,20,9,Unfurnished,Yes,Pune,72068
443,3,2,9,1,Furnished,No,Mumbai,61513
1590,4,3,17,2,Unfurnished,No,Chennai,68923
1969,2,3,5,10,Semi-Furnished,No,Ahmedabad,55399
1771,5,3,5,2,Unfurnished,No,Bangalore,99275
2088,4,1,14,5,Semi-Furnished,No,Delhi,107529
2661,5,4,11,3,Unfurnished,Yes,Hyderabad,122949
2114,1,3,4,7,Furnished,No,Pune,75753
484,3,1,16,3,Unfurnished,Yes,Delhi,49219
1445,5,2,3,1,Semi-Furnished,Yes,Delhi,99053
1409,4,2,8,4,Semi-Furnished,Yes,Ahmedabad,55915
1881,2,4,4,9,Unfurnished,No,Delhi,90577
656,5,3,15,7,Furnished,No,Pune,64031
1354,4,3,8,7,Semi-Furnished,No,Hyderabad,74938
1705,3,2,18,8,Furnished,Yes,Chennai,68658
868,4,2,18,13,Unfurnished,Yes,Pune,51412
685,3,1,15,4,Unfurnished,No,Bangalore,49114
983,2,3,19,6,Furnished,Yes,Bangalore,65934
1315,5,3,19,13,Furnished,No,Pune,79723
2671,3,3,20,3,Furnished,No,Ahmedabad,83631
495,2,3,13,11,Semi-Furnished,No,Pune,33591
1324,3,2,15,13,Unfurnished,Yes,Mumbai,87280
2856,3,3,10,6,Semi-Furnished,Yes,Pune,106739
920,3,3,3,3,Semi-Furnished,Yes,Hyderabad,60778
604,5,4,13,7,Unfurnished,Yes,Chennai,57253
1638,2,1,11,10,Semi-Furnished,Yes,Chennai,57964
1290,2,1,18,3,Furnished,Yes,Pune,56006
411,4,2,1,11,Unfurnished,No,Hyderabad,36042
2189,1,3,18,0,Semi-Furnished,No,Chennai,72144
1552,5,3,8,14,Furnished,No,Mumbai,122402
1075,4,1,15,10,Semi-Furnished,Yes,Hyderabad,62081
2016,2,3,4,12,Semi-Furnished,Yes,Pune,75426
2024,3,1,5,6,Furnished,No,Hyderabad,81677
819,4,4,10,3,Unfurnished,No,Mumbai,93130
660,5,1,1,11,Semi-Furnished,Yes,Delhi,59246
1387,4,1,4,10,Furnished,No,Delhi,82678
2523,4,3,10,8,Unfurnished,No,Delhi,123982
2420,3,3,3,1,Semi-Furnished,No,Delhi,115367
894,5,2,19,3,Unfurnished,No,Delhi,80325
1683,2,3,4,14,Semi-Furnished,No,Delhi,77485
1387,3,3,18,9,Furnished,Yes,Delhi,88830
1441,5,4,18,11,Furnished,Yes,Ahmedabad,67080
2061,2,3,7,2,Furnished,No,Hyderabad,84669
1053,5,2,18,5,Unfurnished,No,Chennai,62858
947,3,3,14,7,Semi-Furnished,No,Delhi,72043
576,1,1,6,13,Unfurnished,No,Delhi,27983
1647,4,4,11,9,Unfurnished,Yes,Hyderabad,86892
767,1,4,8,12,Furnished,No,Mumbai,63573
2448,5,3,4,0,Unfurnished,Yes,Pune,105710
1405,5,4,13,11,Semi-Furnished,No,Hyderabad,85406
1572,4,4,19,13,Furnished,Yes,Chennai,79301
2100,1,4,17,8,Unfurnished,No,Delhi,96424
2121,5,2,7,1,Unfurnished,No,Ahmedabad,72639
490,4,3,2,7,Unfurnished,Yes,Mumbai,67690
2434,4,2,19,12,Unfurnished,Yes,Ahmedabad,76429
2001,1,1,16,12,Furnished,No,Ahmedabad,53979
1486,3,2,5,9,Semi-Furnished,Yes,Hyderabad,67550
952,3,2,19,10,Semi-Furnished,No,Chennai,48565
776,2,3,15,0,Furnished,Yes,Bangalore,60586
2866,4,2,10,5,Unfurnished,No,Hyderabad,106970
2403,3,2,16,2,Semi-Furnished,No,Chennai,83300
1897,1,2,17,1,Unfurnished,No,Mumbai,102369
1962,2,2,7,11,Unfurnished,No,Delhi,85859
1330,1,2,17,10,Furnished,No,Hyderabad,58143
1485,4,4,1,2,Semi-Furnished,No,Mumbai,119335
2292,3,1,8,2,Semi-Furnished,No,Bangalore,101149
1332,4,4,20,2,Semi-Furnished,Yes,Delhi,102504
2018,5,3,11,14,Unfurnished,No,Ahmedabad,70231
2870,2,3,2,1,Unfurnished,Yes,Ahmedabad,75147
1833,5,3,2,10,Furnished,No,Hyderabad,91058
2972,4,4,12,14,Furnished,No,Pune,115101
1189,5,3,16,14,Furnished,No,Ahmedabad,61394
1024,4,3,13,3,Semi-Furnished,Yes,Delhi,85461
2560,5,2,11,4,Furnished,Yes,Pune,109111
1080,1,1,2,12,Unfurnished,No,Pune,34442
819,3,1,20,0,Furnished,No,Pune,53377
1627,2,1,4,0,Furnished,No,Hyderabad,67328
650,2,1,15,2,Unfurnished,Yes,Bangalore,44209
927,2,3,17,1,Semi-Furnished,Yes,Ahmedabad,46724
2599,1,4,1,3,Furnished,Yes,Pune,89710
2489,3,3,18,6,Unfurnished,Yes,Bangalore,113955
899,4,1,14,3,Unfurnished,No,Bangalore,59278
808,5,3,12,3,Unfurnished,No,Chennai,56397
1438,2,2,8,3,Semi-Furnished,No,Mumbai,90269
768,1,4,16,3,Unfurnished,No,Ahmedabad,32890
979,1,1,18,7,Semi-Furnished,Yes,Mumbai,60826
1740,5,4,5,11,Unfurnished,No,Mumbai,132082
2893,4,1,14,13,Furnished,No,Hyderabad,109299
861,4,1,8,11,Unfurnished,Yes,Pune,49921
2522,5,4,8,10,Unfurnished,No,Bangalore,124627
1920,1,2,8,14,Furnished,No,Chennai,56387
2582,5,3,10,7,Furnished,No,Hyderabad,117562
1574,5,1,1,8,Semi-Furnished,Yes,Delhi,91322
2498,2,1,1,9,Furnished,Yes,Bangalore,99852
2411,4,4,14,5,Semi-Furnished,Yes,Chennai,98418
1034,3,4,9,15,Unfurnished,No,Delhi,66907
1836,5,2,14,9,Semi-Furnished,Yes,Mumbai,135662
745,2,3,2,11,Semi-Furnished,No,Pune,36809
2587,5,1,14,11,Semi-Furnished,No,Pune,99344
578,5,2,17,15,Semi-Furnished,Yes,Pune,52944
2455,1,4,10,15,Unfurnished,No,Delhi,99510
653,2,1,9,11,Furnished,Yes,Pune,34821
1546,5,2,4,11,Unfurnished,No,Bangalore,84365
979,5,1,7,4,Semi-Furnished,Yes,Ahmedabad,50869
1170,5,2,4,11,Furnished,No,Mumbai,101474
2315,4,2,6,8,Unfurnished,Yes,Chennai,84691
1219,3,1,10,7,Furnished,No,Hyderabad,58442
753,3,3,2,0,Unfurnished,Yes,Chennai,43915
2528,2,1,18,3,Semi-Furnished,No,Delhi,109625
497,2,1,9,5,Furnished,No,Delhi,44140
1157,3,3,7,3,Unfurnished,Yes,Mumbai,89899
1328,2,3,6,3,Furnished,Yes,Hyderabad,64606
1628,2,1,18,13,Furnished,Yes,Hyderabad,65437
1681,3,2,13,7,Unfurnished,No,Pune,69631
2721,3,3,7,15,Semi-Furnished,Yes,Hyderabad,104448
816,4,2,3,1,Furnished,No,Chennai,54023
2344,2,1,9,8,Furnished,No,Mumbai,123592
1830,5,4,13,13,Unfurnished,Yes,Chennai,83016
1626,5,2,10,14,Furnished,No,Bangalore,92458
1041,2,4,8,9,Unfurnished,Yes,Chennai,50396
443,4,2,2,4,Semi-Furnished,No,Hyderabad,44123
2559,4,4,14,5,Unfurnished,Yes,Chennai,98551
2301,5,2,1,11,Semi-Furnished,Yes,Chennai,84740
525,5,1,4,15,Semi-Furnished,Yes,Ahmedabad,34238
971,3,3,7,0,Unfurnished,No,Chennai,50892
1575,2,4,8,7,Furnished,No,Chennai,66760
1870,3,2,14,1,Furnished,Yes,Pune,83974
1442,1,4,3,2,Semi-Furnished,Yes,Chennai,57517
1436,1,2,15,0,Furnished,No,Hyderabad,64857
2193,2,2,4,2,Furnished,Yes,Chennai,77674
886,3,4,5,1,Semi-Furnished,No,Mumbai,89589
2645,2,1,10,0,Semi-Furnished,No,Mumbai,135950
448,4,1,13,14,Unfurnished,No,Pune,34361
2297,5,2,13,10,Semi-Furnished,Yes,Mumbai,148905
936,2,1,9,10,Furnished,Yes,Hyderabad,49379
2625,1,3,7,4,Semi-Furnished,Yes,Ahmedabad,72312
1539,5,1,15,3,Furnished,No,Pune,81978
1132,2,1,14,12,Semi-Furnished,No,Pune,45187
704,3,2,16,9,Semi-Furnished,No,Hyderabad,47876
635,2,2,9,12,Semi-Furnished,No,Ahmedabad,24994
2600,3,1,10,14,Unfurnished,No,Pune,79948
2006,4,4,8,4,Furnished,Yes,Chennai,89203
760,4,1,15,5,Furnished,Yes,Delhi,71239
1240,4,2,19,1,Unfurnished,No,Chennai,63742
1380,5,3,9,14,Furnished,No,Chennai,69201
789,3,2,16,13,Furnished,No,Bangalore,58320
1205,5,4,6,14,Furnished,Yes,Mumbai,117892
1490,5,2,1,15,Semi-Furnished,No,Bangalore,83968
1246,1,4,4,14,Semi-Furnished,No,Bangalore,62053
929,3,2,4,12,Furnished,No,Ahmedabad,38756
626,5,2,5,12,Unfurnished,Yes,Delhi,64271
1462,5,2,3,9,Unfurnished,Yes,Pune,69261
2451,3,3,14,7,Furnished,Yes,Bangalore,120210
2461,1,1,7,13,Unfurnished,Yes,Hyderabad,76140
2135,4,3,4,6,Furnished,No,Hyderabad,95195
2958,3,2,12,11,Unfurnished,No,Chennai,87186
2463,5,2,4,14,Furnished,No,Pune,96853
2181,4,1,6,11,Semi-Furnished,No,Delhi,105869
2478,2,3,5,6,Unfurnished,No,Hyderabad,91804
604,1,2,9,9,Furnished,No,Hyderabad,32386
1131,3,1,10,14,Unfurnished,No,Hyderabad,49274
2968,1,1,14,11,Semi-Furnished,No,Bangalore,103012
2159,3,1,3,4,Furnished,Yes,Chennai,74011
1410,1,1,14,9,Furnished,Yes,Ahmedabad,44357
2582,2,3,5,5,Unfurnished,No,Mumbai,134499
2896,1,2,13,6,Unfurnished,No,Pune,86925
2877,1,1,5,12,Semi-Furnished,Yes,Pune,82194
2210,1,1,12,15,Semi-Furnished,Yes,Chennai,63236
2475,5,4,13,0,Furnished,Yes,Hyderabad,125226
1434,4,3,11,1,Semi-Furnished,No,Ahmedabad,61074
1428,1,1,14,13,Semi-Furnished,Yes,Ahmedabad,39264
2882,1,4,1,2,Semi-Furnished,Yes,Ahmedabad,77281
528,5,4,16,5,Furnished,Yes,Chennai,62223
2533,5,3,15,11,Semi-Furnished,No,Chennai,96348
1259,2,2,2,7,Unfurnished,Yes,Bangalore,57455
2534,5,3,1,4,Unfurnished,No,Hyderabad,107753
2871,1,2,1,5,Unfurnished,No,Hyderabad,88636
1926,1,1,20,2,Unfurnished,Yes,Ahmedabad,53569
1773,5,1,4,5,Unfurnished,Yes,Hyderabad,80138
1533,3,3,19,12,Furnished,Yes,Bangalore,88630
1384,1,3,10,13,Semi-Furnished,No,Hyderabad,54707
2726,4,4,17,6,Semi-Furnished,Yes,Bangalore,136606
2555,3,3,12,5,Furnished,Yes,Mumbai,155288
1094,5,3,17,13,Semi-Furnished,Yes,Delhi,88072
572,3,3,16,6,Furnished,No,Ahmedabad,37400
905,3,1,16,4,Furnished,Yes,Pune,51753
551,2,2,20,5,Semi-Furnished,Yes,Hyderabad,41704
2665,3,3,15,11,Furnished,No,Chennai,93963
2303,2,3,13,8,Unfurnished,Yes,Bangalore,99706
1100,3,1,13,5,Unfurnished,Yes,Bangalore,59393
1336,5,1,4,10,Semi-Furnished,No,Ahmedabad,50355
1629,4,1,13,4,Unfurnished,No,Mumbai,105618
2109,2,2,5,2,Furnished,No,Chennai,70633
795,3,2,10,6,Furnished,No,Pune,47957
1010,2,1,10,13,Furnished,Yes,Hyderabad,48192
884,4,3,2,5,Semi-Furnished,Yes,Delhi,76490
1011,2,3,10,11,Furnished,Yes,Mumbai,82048
1417,2,2,8,6,Furnished,Yes,Chennai,56814
1891,3,3,18,13,Semi-Furnished,Yes,Hyderabad,87497
2736,2,1,18,3,Furnished,No,Ahmedabad,72952
511,4,1,7,6,Unfurnished,No,Delhi,51232
636,1,2,13,4,Furnished,Yes,Ahmedabad,30949
463,1,1,16,7,Furnished,Yes,Delhi,38207
423,5,2,12,8,Semi-Furnished,Yes,Bangalore,60546
534,1,1,18,1,Furnished,Yes,Bangalore,39227
883,4,1,9,4,Unfurnished,No,Ahmedabad,40747
2227,1,1,13,9,Furnished,No,Bangalore,85891
1335,4,1,10,10,Semi-Furnished,No,Ahmedabad,47467
1723,3,3,17,10,Unfurnished,Yes,Mumbai,113528
592,4,2,9,9,Semi-Furnished,Yes,Delhi,62059
2125,1,3,9,2,Unfurnished,Yes,Ahmedabad,60943
742,1,2,5,9,Semi-Furnished,Yes,Delhi,39437
2191,5,2,5,7,Unfurnished,Yes,Bangalore,107651
2902,2,1,3,5,Semi-Furnished,No,Ahmedabad,68592
462,3,3,15,11,Unfurnished,No,Delhi,51667
932,5,4,16,0,Unfurnished,Yes,Mumbai,111919
573,4,3,11,2,Unfurnished,Yes,Chennai,46394
1519,2,3,20,6,Semi-Furnished,No,Hyderabad,70497
2585,5,4,4,3,Semi-Furnished,Yes,Hyderabad,117791
519,4,3,1,7,Unfurnished,Yes,Delhi,57375
1388,5,1,3,10,Semi-Furnished,Yes,Ahmedabad,54776
2555,4,4,12,1,Semi-Furnished,Yes,Pune,110149
2382,3,2,10,0,Semi-Furnished,Yes,Pune,94135
2054,2,2,18,7,Unfurnished,No,Hyderabad,78155
2464,1,1,19,9,Furnished,Yes,Ahmedabad,64258
1103,5,3,8,4,Semi-Furnished,Yes,Hyderabad,74801
477,1,4,1,15,Semi-Furnished,Yes,Chennai,25905
1174,1,4,8,0,Furnished,No,Hyderabad,58521
1730,4,2,14,8,Semi-Furnished,Yes,Delhi,98252
935,3,2,16,8,Semi-Furnished,No,Chennai,45850
2375,3,3,17,3,Semi-Furnished,No,Delhi,118979
812,5,2,11,3,Unfurnished,No,Mumbai,87354
2843,3,2,9,1,Unfurnished,No,Mumbai,150804
955,5,1,11,5,Semi-Furnished,No,Chennai,56218
1179,1,1,9,6,Semi-Furnished,No,Ahmedabad,34329
563,5,2,11,7,Furnished,Yes,Pune,55394
2084,2,2,7,11,Furnished,No,Chennai,66997
593,4,1,5,14,Semi-Furnished,No,Delhi,49398
1666,1,3,17,7,Semi-Furnished,No,Bangalore,77434
620,5,3,18,3,Unfurnished,No,Hyderabad,63733
1708,4,2,4,14,Unfurnished,No,Delhi,85690
1794,3,3,3,1,Furnished,Yes,Ahmedabad,67290
2680,4,3,18,2,Unfurnished,Yes,Bangalore,128442
2312,4,1,14,13,Unfurnished,No,Pune,80400
850,4,2,19,2,Semi-Furnished,Yes,Pune,62730
692,5,4,5,9,Unfurnished,No,Mumbai,92153
2702,2,4,8,12,Unfurnished,No,Ahmedabad,69183
2928,5,3,5,9,Unfurnished,Yes,Chennai,106074
1190,5,1,19,5,Furnished,Yes,Hyderabad,75299
1733,1,3,17,1,Semi-Furnished,No,Hyderabad,70564
2520,2,4,18,6,Furnished,No,Chennai,90349
1897,3,2,17,7,Semi-Furnished,Yes,Chennai,74163
2181,3,2,4,9,Unfurnished,No,Delhi,99850
2636,3,2,17,12,Semi-Furnished,Yes,Delhi,119169
2959,4,2,3,11,Unfurnished,No,Chennai,90627
2152,2,3,11,12,Semi-Furnished,Yes,Pune,78719
2040,2,1,1,8,Furnished,Yes,Hyderabad,77906
2172,1,2,18,1,Semi-Furnished,No,Ahmedabad,56743
2923,4,2,18,9,Semi-Furnished,Yes,Ahmedabad,88458
408,2,3,9,8,Unfurnished,Yes,Pune,33152
2007,1,3,4,4,Semi-Furnished,No,Hyderabad,75963
2163,4,3,3,4,Unfurnished,No,Hyderabad,92779
1775,1,4,16,6,Unfurnished,Yes,Mumbai,108910
1386,2,3,8,8,Unfurnished,Yes,Delhi,71927
1843,1,4,12,2,Semi-Furnished,No,Pune,70516
521,3,3,7,1,Semi-Furnished,Yes,Hyderabad,47566
1144,5,4,8,0,Furnished,Yes,Delhi,103709
2149,3,4,16,11,Unfurnished,No,Hyderabad,88694
2659,1,3,1,6,Unfurnished,Yes,Mumbai,128764
1053,5,2,5,5,Semi-Furnished,Yes,Pune,63587
2935,5,2,1,5,Furnished,Yes,Chennai,110143
2510,4,4,5,13,Semi-Furnished,Yes,Bangalore,119566
1080,4,1,11,6,Furnished,No,Delhi,74356
1027,1,4,11,5,Unfurnished,Yes,Ahmedabad,39681
1875,2,3,10,0,Furnished,Yes,Hyderabad,83651
2156,2,1,15,1,Unfurnished,No,Ahmedabad,58683
438,2,4,20,4,Semi-Furnished,No,Delhi,55122
968,5,4,13,1,Unfurnished,Yes,Ahmedabad,57365
2353,1,1,16,0,Furnished,Yes,Mumbai,123245
1247,3,2,18,3,Semi-Furnished,No,Chennai,59278
817,4,3,19,7,Furnished,No,Ahmedabad,51533
987,5,2,16,15,Unfurnished,No,Mumbai,90101
2383,1,4,8,1,Furnished,Yes,Delhi,114036
2499,4,4,1,14,Unfurnished,Yes,Pune,92812
1766,5,1,4,3,Furnished,No,Hyderabad,87047
2463,5,4,4,10,Unfurnished,No,Hyderabad,105511
2376,1,3,10,10,Furnished,No,Hyderabad,85001
2111,5,4,11,7,Unfurnished,Yes,Hyderabad,102514
1247,3,2,18,12,Unfurnished,Yes,Ahmedabad,43638
956,3,3,2,14,Unfurnished,No,Delhi,57456
2064,5,2,11,2,Unfurnished,No,Mumbai,141775
1622,2,3,14,1,Unfurnished,Yes,Delhi,86144
1496,1,2,11,0,Semi-Furnished,No,Pune,53463
2623,5,3,19,14,Semi-Furnished,No,Pune,109320
1116,1,3,17,11,Semi-Furnished,Yes,Pune,50076
2146,2,4,12,15,Furnished,No,Bangalore,100018
1769,1,3,2,4,Furnished,Yes,Pune,68740
2475,5,3,13,14,Unfurnished,No,Chennai,91495
1602,4,4,14,8,Semi-Furnished,Yes,Chennai,77735
1537,3,4,3,13,Unfurnished,No,Pune,62395
636,3,4,13,5,Furnished,No,Delhi,66600
1878,1,1,14,5,Furnished,Yes,Bangalore,79440
1904,5,3,15,6,Furnished,No,Pune,92352
2229,4,2,11,8,Furnished,No,Ahmedabad,72480
1951,2,1,2,13,Furnished,Yes,Delhi,82459
840,3,2,17,13,Semi-Furnished,Yes,Chennai,45349
1879,1,2,5,12,Furnished,Yes,Delhi,79756
623,5,2,14,4,Semi-Furnished,No,Bangalore,69801
1277,5,1,7,0,Semi-Furnished,No,Pune,67319
2044,5,4,12,1,Furnished,Yes,Bangalore,125386
1471,2,4,16,6,Unfurnished,No,Chennai,58249
512,5,1,2,6,Unfurnished,Yes,Ahmedabad,35066
1554,5,4,18,5,Unfurnished,No,Ahmedabad,65796
1771,4,2,16,13,Furnished,Yes,Hyderabad,88284
1467,2,3,2,7,Unfurnished,Yes,Ahmedabad,46928
428,1,2,8,6,Unfurnished,Yes,Bangalore,32028
2954,1,4,18,0,Furnished,No,Delhi,132157
2422,4,3,4,4,Furnished,No,Chennai,93784
887,3,4,17,4,Furnished,No,Bangalore,76303
804,1,3,12,11,Semi-Furnished,Yes,Chennai,36057
425,4,4,1,11,Semi-Furnished,Yes,Pune,49565
2391,1,3,3,6,Unfurnished,No,Bangalore,92960
569,3,4,3,1,Semi-Furnished,No,Ahmedabad,40416
1017,3,1,5,7,Semi-Furnished,Yes,Ahmedabad,41539
1480,5,2,19,15,Furnished,No,Bangalore,90684
2169,2,3,2,0,Semi-Furnished,Yes,Mumbai,126156
2009,1,4,5,4,Furnished,No,Delhi,98815
507,3,2,10,5,Semi-Furnished,Yes,Hyderabad,45218
1008,1,2,17,9,Furnished,No,Delhi,57926
1438,4,4,11,1,Semi-Furnished,No,Delhi,100208
2393,2,1,1,10,Furnished,No,Pune,77371
1468,5,2,18,15,Unfurnished,No,Chennai,63636
1197,3,2,2,1,Semi-Furnished,No,Bangalore,70954
2550,5,2,14,9,Furnished,Yes,Bangalore,127816
2787,4,4,3,15,Semi-Furnished,Yes,Ahmedabad,86654
2921,5,1,19,10,Semi-Furnished,No,Delhi,141148
2282,2,3,13,2,Unfurnished,Yes,Hyderabad,87076
1312,4,2,9,7,Semi-Furnished,Yes,Mumbai,99748
1628,4,3,14,9,Furnished,No,Hyderabad,85943
1793,2,2,19,8,Furnished,Yes,Bangalore,89021
908,1,2,19,4,Semi-Furnished,No,Hyderabad,43937
1619,4,3,7,3,Unfurnished,Yes,Ahmedabad,60443
1854,1,1,7,14,Furnished,Yes,Chennai,58981
603,4,4,1,0,Unfurnished,Yes,Hyderabad,59296
2546,1,4,8,8,Semi-Furnished,Yes,Mumbai,136128
2755,5,2,19,8,Furnished,Yes,Pune,113933
1485,3,4,13,12,Unfurnished,Yes,Bangalore,85126
2138,5,4,13,9,Furnished,No,Hyderabad,107712
2476,5,4,17,9,Semi-Furnished,No,Delhi,140933
1088,2,3,10,6,Semi-Furnished,No,Mumbai,83301
2745,2,1,5,2,Unfurnished,Yes,Hyderabad,91263
962,5,4,8,4,Semi-Furnished,Yes,Pune,72109
815,5,4,3,8,Furnished,No,Pune,63371
864,4,4,1,4,Semi-Furnished,Yes,Pune,63237
2250,4,2,16,11,Furnished,Yes,Hyderabad,102026
1331,1,2,12,9,Semi-Furnished,Yes,Ahmedabad,39766
608,3,4,8,5,Semi-Furnished,Yes,Bangalore,64163
1942,1,3,1,13,Semi-Furnished,Yes,Bangalore,79189
2222,3,2,9,0,Semi-Furnished,Yes,Mumbai,136169
1894,3,4,12,0,Unfurnished,Yes,Delhi,106563
1827,3,1,11,8,Unfurnished,No,Mumbai,105246
1834,5,2,18,4,Unfurnished,Yes,Hyderabad,95228
651,2,3,16,9,Unfurnished,Yes,Bangalore,51487
2660,3,2,17,3,Unfurnished,Yes,Chennai,90845
1992,2,3,17,15,Unfurnished,Yes,Mumbai,111163
2032,3,1,10,6,Unfurnished,Yes,Bangalore,87072
696,4,1,6,8,Furnished,No,Delhi,60695
1180,5,3,19,3,Unfurnished,Yes,Hyderabad,81145
2976,4,1,19,15,Unfurnished,Yes,Ahmedabad,83341
1911,5,4,19,15,Unfurnished,Yes,Hyderabad,94646
2261,3,1,15,1,Furnished,Yes,Delhi,109556
802,2,2,17,5,Furnished,Yes,Ahmedabad,38616
2880,2,2,3,6,Unfurnished,Yes,Delhi,115640
2608,1,4,19,13,Furnished,Yes,Bangalore,112555
1347,3,2,16,2,Unfurnished,Yes,Chennai,58776
2300,5,4,12,9,Furnished,Yes,Delhi,137998
2748,2,1,9,12,Furnished,No,Delhi,111023
669,3,2,17,15,Semi-Furnished,No,Mumbai,64636
2069,3,4,11,11,Semi-Furnished,Yes,Bangalore,106048
2349,4,4,18,10,Furnished,No,Delhi,127176
1042,3,2,11,15,Furnished,Yes,Bangalore,67316
1843,1,2,13,12,Furnished,Yes,Hyderabad,68302
1627,2,4,13,14,Furnished,Yes,Ahmedabad,58808
1796,3,3,19,13,Unfurnished,Yes,Delhi,95890
807,2,2,18,4,Unfurnished,No,Hyderabad,46390
1129,2,1,5,5,Furnished,No,Chennai,43872
1989,2,4,1,6,Furnished,No,Delhi,101266
452,1,1,20,15,Semi-Furnished,No,Bangalore,28806
1545,3,4,19,8,Unfurnished,Yes,Hyderabad,76116
1577,5,2,10,9,Furnished,No,Bangalore,93612
1950,1,1,15,13,Unfurnished,No,Mumbai,91286
1188,4,3,20,14,Unfurnished,No,Bangalore,74812
2115,2,1,9,4,Unfurnished,Yes,Pune,70066
2176,3,2,1,5,Semi-Furnished,No,Ahmedabad,61014
741,2,4,12,2,Furnished,Yes,Mumbai,80632
2140,5,1,14,10,Semi-Furnished,No,Mumbai,136721
591,4,3,10,15,Furnished,Yes,Mumbai,75194
1718,5,2,1,4,Unfurnished,No,Hyderabad,80640
945,1,4,13,3,Unfurnished,Yes,Bangalore,57731
1244,2,3,14,4,Semi-Furnished,Yes,Mumbai,90051
1786,3,1,6,12,Semi-Furnished,Yes,Mumbai,105185
2543,3,2,4,8,Furnished,Yes,Mumbai,144652
2664,5,1,18,12,Furnished,Yes,Mumbai,164867
1687,3,3,20,8,Semi-Furnished,Yes,Chennai,71497
2452,3,4,3,9,Furnished,No,Delhi,124224
2321,1,2,9,10,Furnished,No,Ahmedabad,62997
